Period,Amplitude,kfᴸᴬ,krᴸᴬ,kfᴸᴷ,krᴸᴷ,kcatᴸᴷ,kfᴸᴾ,krᴸᴾ,kcatᴸᴾ,kfᴬᴷ,krᴬᴷ,kfᴬᴾ,krᴬᴾ,DF,L,K,P,A,Kdᴸᴬ,Kdᴬᴷ,Kdᴬᴾ,Kmᴸᴷ,Kmᴸᴾ
484.63333,0.72063,10.78578,0.80834,0.001,4.41036,262.87515,6.30672,1.10679,2.74411,55.56146,85.16004,0.001,0.001,500.0,18.83201,2.36177,0.36521,0.1916,0.07494,1.53272,1.0,267285.5138,0.6106
422.1,0.67099,0.29833,0.72907,0.001,96.20906,477.47322,0.09906,0.95284,18.40461,0.54498,0.001,1.26514,0.001,1000.0,61.21959,15.14658,1.89767,1.48641,2.44382,0.00183,0.00079,573682.27597,195.4029
14.324,0.90905,16.9157,12.82548,0.001,0.001,403.52246,9.9576,0.19618,5.71395,4.76167,0.50758,0.251,0.126,1000.0,63.33399,5.99354,3.16947,1.25001,0.7582,0.1066,0.50199,403523.46418,0.59353
613.45,0.72102,26.7928,2.3962,0.001,64.33679,586.50745,3.501,3.50404,3.32985,0.001,0.001,0.001,0.001,1000.0,16.35066,17.78665,4.34691,1.14706,0.08943,1.0,1.0,650844.23456,1.95198
371.6,0.49688,90.55941,52.59682,0.001,0.001,41.88466,29.76578,145.35973,52.37025,15.73587,0.28704,0.001,0.001,1000.0,35.24567,1.11306,0.44441,0.2498,0.5808,0.01824,1.0,41885.65821,6.64286
1131.6,0.67113,3.62724,0.73222,0.001,26.75857,724.64464,44.5215,32.50771,2.52944,0.001,0.001,0.001,0.001,1000.0,2.06857,4.60268,0.18826,1.18285,0.20187,1.0,1.0,751403.21213,0.78697
832.4,0.86761,9.62373,5.33382,0.001,0.126,32.79773,59.56617,0.001,166.7802,76.3508,9.01322,0.001,0.001,500.0,37.37292,34.39582,0.60015,16.09834,0.55424,0.11805,1.0,32923.73412,2.79993
14.64508,0.74359,1.57389,1.38721,0.001,5.23368,53.22109,0.75813,0.001,7.05842,2.5737,0.126,0.57465,0.126,1000.0,19.37368,3.08105,1.70467,1.02354,0.88139,0.04896,0.21926,58454.77732,9.31156
5.62602,0.81964,14.44507,16.67716,0.001,0.001,78.85791,4.88428,0.25566,19.68607,3.33122,0.126,1.54259,0.251,500.0,64.27339,90.50207,11.3685,26.95967,1.15452,0.03782,0.16271,78858.90798,4.08284
13.49621,0.19227,0.8626,1.24937,0.001,0.23526,53.25093,2.70661,0.001,6.52746,39.97139,0.126,13.71316,0.376,500.0,23.02779,33.61355,2.89741,2.99812,1.44838,0.00315,0.02742,53486.19573,2.41205
462.33333,0.40959,0.46382,0.75118,0.001,29.5634,869.07428,7.24133,95.26028,81.21444,0.126,0.001,0.001,0.001,1000.0,29.47185,1.35123,0.6729,0.36189,1.61957,0.00794,1.0,898637.68093,24.37048
11.25346,0.70869,33.10939,6.22055,0.001,9.3723,119.2051,9.23013,0.001,22.525,84.01087,0.251,4.28484,0.126,500.0,35.86013,0.97978,0.40547,0.38374,0.18788,0.00299,0.02941,128577.39869,2.44048
110.9,0.58494,14.44507,16.42716,0.001,0.27195,78.48291,4.13428,0.76962,59.23175,3.70622,0.001,0.79259,0.00331,500.0,64.14839,90.25207,11.7435,27.70967,1.13722,0.00027,0.00418,78754.85609,14.51313
1455.2,0.91185,2.0152,2.05739,0.001,6.20027,21.08481,6.81348,0.11992,27.99689,0.01748,0.001,0.001,0.001,1000.0,24.09251,2.51037,0.3465,1.47543,1.02093,0.05721,1.0,27285.08506,4.12665
907.5,0.90866,4.70155,1.76696,0.001,1.19521,262.41526,20.70872,0.126,148.98508,9.72862,3.53878,0.001,0.001,1000.0,58.67504,30.79829,2.09635,7.22876,0.37582,0.36375,1.0,263610.47139,7.2004
589.8,0.64984,0.50066,0.91948,0.29108,0.75558,942.69373,4.473,0.251,12.38155,0.001,0.001,0.001,0.001,1000.0,3.21732,0.78422,0.71489,0.69694,1.83652,1.0,1.0,3241.19612,2.82418
615.2,0.88672,32.0816,28.71559,0.001,4.13054,108.74454,21.75045,2.1616,6.31235,0.06225,0.001,6.51952,0.55536,1000.0,25.50429,34.44238,3.40208,3.49883,0.89508,0.01607,0.08518,112875.08459,0.3896
116.37857,0.151,14.61825,2.38066,0.04636,693.9858,988.12936,1.4917,1.45098,0.16885,0.21949,0.03004,0.03846,0.00118,1000.0,0.71279,0.63792,0.29959,0.14962,0.16286,0.13685,0.03058,36282.90158,1.0859
860.5,0.62728,20.10973,3.3047,0.001,0.001,441.78661,0.376,0.251,0.37716,1.05305,5.36314,0.001,0.001,1000.0,1.71787,4.58628,0.35661,0.3966,0.16433,5.09299,1.0,441787.60658,1.67064
657.25,0.87937,30.51067,1.91524,0.001,26.37112,899.00976,2.23086,0.126,1.88161,1.22654,1.93448,0.001,0.001,500.0,11.50387,3.29189,0.83048,1.1572,0.06277,1.57718,1.0,925380.88254,0.89993
196.9,0.65405,0.3909,0.67274,0.001,0.376,34.77815,11.91819,198.46595,22.20431,0.56968,0.001,26.83984,0.48167,1000.0,49.39144,1.44275,0.64991,0.35,1.72101,0.00176,0.01795,35154.14776,18.51541
5.13553,0.36661,16.6657,12.20048,0.001,0.126,403.14746,9.9576,0.57118,14.63351,4.51167,0.75758,0.251,0.251,1000.0,63.20899,5.61854,3.29447,1.12501,0.73207,0.16792,1.0,403273.46418,1.52694
855.1,0.59563,2.37932,1.18692,0.81102,505.69298,0.86864,11.14853,0.251,1.66784,8.05485,12.22426,0.001,0.001,500.0,2.67641,17.69797,0.16858,1.07545,0.49885,1.51763,1.0,624.59725,0.17212
906.9,0.68443,47.30064,283.35463,0.00227,33.47564,46.74175,6.38232,96.15184,65.42779,4.53463,11.00083,0.001,0.001,500.0,33.43957,42.64435,0.69815,7.90107,5.9905,2.42596,1.0,35390.82742,25.31675
87.03,0.49102,50.97956,13.6049,0.001,2.77919,487.07827,0.15515,0.00123,3.01403,3.46147,29.05232,0.001,0.001,1000.0,51.64746,24.93548,8.52595,2.42369,0.26687,8.39305,1.0,489857.4633,19.43439
690.6,0.49376,1.6583,0.66937,0.001,5.0114,27.20704,2.66056,0.001,4.99563,21.52035,0.001,0.9465,0.001,500.0,2.91575,2.18835,0.14551,0.4109,0.40365,5.0e-5,0.00106,32218.44527,1.87804
22.97119,0.24449,0.50812,1.45702,0.35615,532.65094,17.7212,1.75299,0.376,4.38432,0.78932,0.001,0.59848,0.001,500.0,17.72531,7.63019,4.85058,3.45151,2.86748,0.00127,0.00167,1545.35755,2.71554
696.3,0.88003,5.65892,0.55138,0.001,2.49849,191.92131,1.81565,0.001,1.51614,0.9769,0.251,0.001,0.001,500.0,5.91871,1.81411,0.603,0.68939,0.09744,0.25694,1.0,194419.79297,0.83559
668.3,0.54719,18.30037,6.76243,0.001,13.93529,8.24627,32.00757,0.001,34.44568,34.08771,0.30019,0.001,0.001,1000.0,20.48673,3.26662,0.27712,1.06436,0.36952,0.00881,1.0,22181.55651,1.0762
455.3,0.69687,18.62684,31.17924,0.001,4.4896,128.70888,2.12224,19.71337,3.12377,1.45747,8.87116,0.001,0.001,500.0,18.44335,34.22436,1.62746,2.86692,1.67389,6.08668,1.0,133198.48188,10.76087
7.44647,0.31015,96.20251,170.8058,0.001,223.46154,917.38298,39.62885,0.126,982.46388,1.92958,0.376,0.25676,0.376,500.0,16.25105,4.42894,0.01,1.87568,1.77548,0.19486,1.46441,1.14084452116e6,24.79481
290.08,0.5376,11.33094,10.21163,0.001,0.001,20.8821,7.17222,0.5376,75.96711,2.86823,0.73258,0.001,0.001,500.0,31.27319,32.74866,1.4989,5.5739,0.90122,0.25541,1.0,20883.10305,10.66681
303.98,0.59162,14.69507,17.05216,0.001,0.001,78.35791,4.38428,0.51962,59.10675,3.95622,0.001,0.79259,0.001,500.0,64.64839,89.25207,11.9935,27.83467,1.1604,0.00025,0.00126,78358.90798,13.60003
661.0,0.3124,99.28896,31.7664,0.0025,382.77903,43.68971,73.14946,0.5155,0.86059,65.90213,0.13275,0.001,0.001,1000.0,96.67237,89.68871,66.84487,57.08745,0.31994,0.00201,1.0,170252.12446,0.01881
1130.5,0.81368,30.63287,2.91282,0.001,5.50248,145.01562,2.43416,0.001,2.58795,0.001,0.001,0.001,0.001,500.0,27.43579,5.10815,3.11717,1.63464,0.09509,1.0,1.0,150518.1021,1.06359
324.525,0.79372,87.83712,30.11938,0.001,0.126,29.62247,80.60571,67.99819,2.68696,0.00555,0.001,0.39988,0.66467,1000.0,5.84548,4.99635,0.86326,1.56348,0.3429,0.18021,1.6622,29748.47311,0.87692
888.4,0.85547,2.38494,5.70199,0.001,0.36643,32.98983,3.18554,0.00849,2.41151,16.37516,0.58485,0.001,0.001,500.0,71.9688,3.80794,2.44983,0.9955,2.39083,0.03572,1.0,33356.26294,0.75968
624.75,0.78982,94.19113,28.08308,0.001,3.05949,116.54016,1.1661,0.501,9.07314,0.001,0.001,0.001,0.001,1000.0,7.22353,15.45274,0.57101,1.56504,0.29815,1.0,1.0,119599.64282,8.21038
11.47742,0.53416,0.93503,14.56441,0.001,909.72895,219.37301,1.70318,0.34521,342.44231,24.521,1.48716,0.126,0.126,1000.0,66.29438,27.66761,0.34128,14.09758,15.57644,0.06065,1.0,1.12910196307e6,201.26315
875.5,0.84052,12.49854,2.50056,0.001,0.376,3.69299,59.91437,0.39691,2.94524,20.38686,0.65399,0.001,0.001,1000.0,22.77976,13.46749,5.07867,10.23769,0.20007,0.03208,1.0,4068.99016,0.05578
923.3,0.70092,0.33049,0.44611,0.001,0.001,8.3244,11.73507,124.86968,36.15075,6.98111,8.08017,0.001,0.001,500.0,11.37936,1.40837,0.01,0.21293,1.34986,1.15743,1.0,8325.4026,13.72131
12.52238,0.50152,86.89977,159.42127,0.00302,1.49802,49.18504,40.06715,0.001,59.92848,47.84541,0.29536,1.8375,0.126,1000.0,28.56853,23.43097,3.20552,6.89226,1.83454,0.00617,0.06857,16798.657,1.49573
199.7125,0.45879,7.94951,7.81435,0.12308,1.45727,803.40414,9.43276,0.25261,504.71291,0.65092,23.91597,0.001,0.001,1000.0,7.29124,3.25338,0.09385,1.49994,0.983,36.74193,1.0,6539.24613,53.53317
429.13333,0.54336,34.21755,587.48437,0.02089,0.001,607.47218,18.28532,345.69916,482.92707,58.77183,0.12616,0.06759,0.001,100.0,86.12269,16.11281,1.58891,11.99656,17.1691,0.00215,0.01479,29082.05344,45.31648
439.16667,0.62717,1.86401,0.47753,0.001,24.44805,17.90367,23.14043,8.19427,66.97067,1.85329,17.79164,0.001,0.001,500.0,5.13214,87.1714,0.01,0.74721,0.25619,9.60004,1.0,42351.71182,3.24821
694.5,0.73354,18.62684,28.55424,0.001,113.63089,128.12554,2.70557,20.88004,3.7071,2.9158,6.8295,0.001,0.001,500.0,20.19335,33.05769,1.62746,2.57526,1.53296,2.34223,1.0,241756.43633,9.0876
911.5,0.91199,33.29814,3.88237,0.001,0.001,370.86818,55.22688,2.83662,1.18651,42.98225,5.5573,0.001,0.001,500.0,23.93302,4.61692,2.13788,1.37094,0.11659,0.12929,1.0,370869.18036,0.07285
569.05,0.58841,41.49601,89.80122,0.04575,264.24891,186.807,6.22043,1.58405,5.27459,1.18032,0.51141,0.001,0.001,50.0,20.35103,3.27786,1.20953,1.43133,2.16409,0.43328,1.0,9860.07494,1.1026
749.9,0.44156,48.45016,942.90457,0.001,18.60594,15.8932,1.94904,2.46236,0.20563,19.40907,0.28356,0.001,0.001,1000.0,31.16142,16.99409,15.49532,8.20103,19.46133,0.01461,1.0,34499.13713,1.36888
7.12341,0.50192,1.81173,1.77453,0.001,3.25676,89.10391,2.12802,5.05081,9.61807,0.89247,0.626,1.04267,0.20933,1000.0,13.72933,51.52518,1.62959,4.71584,0.97947,0.70142,0.20077,92360.67419,6.89321
900.6,0.75558,0.67991,4.97223,0.41453,99.51512,914.71124,86.02721,20.58256,240.02805,0.6503,0.001,0.751,0.001,500.0,38.48331,0.78499,0.51743,0.6175,7.31306,0.00154,0.00133,2446.67653,3.0294
943.3,0.90307,5.94223,0.30613,0.001,336.71946,42.70639,22.01049,2.93931,66.18951,86.96483,0.001,15.1841,0.001,1000.0,25.74724,0.88011,0.01,0.25519,0.05152,1.0e-5,7.0e-5,379425.85081,3.14072
385.95,0.55808,5.00121,0.25288,0.001,0.13027,8.68014,17.52737,0.27688,2.32138,0.52098,0.001,28.43895,1.83183,1000.0,17.46062,10.1592,7.48513,3.87676,0.05056,0.00192,0.06441,8810.40174,0.14824
